0,9304021000327413959758186088088834188498451967665636518007546099565248669061000464248974266319848509595800143918323301713716304958500649012046266970835943,75628151839891193281595615133376335128891603722447 10361056802065093479578599273272557912658149709975103 11873619838862917345210511575940084615235981784424023
1,9806622223461102926434540559597141359300577176481681715729446790872276982137965948298385439031184752011207213522234518834701161503425537178944067703980703,76966146303202337440963386422253973944185470905367 10544362043538720229411983939848794430353409514035143 12083684969602766978231251668293873909237118932142463
2,10554237149520730062652925803024896392541923134616358772946045282147178589404031130155761466749485719920310502368072476989137696491419713984325023667506963,78874304536555604902812646291237853155069629792787 10805779721508117871685332541899585882244539281611683 12383265812239229969741585467724342945345931877467403
3,7024515085322919507723381491793728802699009840552432104844497663485987521973934003385457182222571444484156923706260685536524173111240371372286069711128903,68865025078322170861136725186666921400926214534767 9434508435730137407975731350573368231926891391262943 10811808937296580825198465854306706659945415681958263
4,11412381335635806038482739958603254316662300214118054354169935046393573971724923655593315481369680629122741689025231487321341167930245752843878670743105543,80956554881650022203167293159332299411952322825647 11091048018786053041833919162828525019437468227113503 12710179116419053485897265026015171007676514683626423
5,7795008072709501976382548338414507150681395527882951125472617714104940101013101691459365871686072495090188908021422572850848683552763261692738174088763103,71296046801359815301081450756841609329524567326167 9767558411786294696248158753687300478144865723684743 11193479347813491002269787768824132664735357070208063
6,7512048119752693338089936964187567019964622162704706542053330650187112532141677386009901421728643764734528364691897255765167605261379571145033691065380063,70422706813554958521408029564274650680077913110487 9647910833457029317432900050305627143170674096136583 11056364969728128487861060641591120156772232358346303
7,8239092780162950507729282558855476160450162738103855919425510424945719757254790734196607707107939030410805524456090593501152961341613530421199728248436303,72625041120745407946095830042320877441372870830567 9949630633542120888615128715797960209468083303787543 11402131455957029047537045316644377758295540720398863
8,12188884301506005535438085524737005838234591641765859948553961936464905652080785072719788703576865299169843749655447770346577900104277906866185642740948823,82752523267622551085486305955670189064219469885407 11337095687664289498711623915926815901798067374300623 12992146153016740520421350035040219683082456772008743
9,6997275881028273761582222628569865290494893483635740877502055201936555838226181589762860262295524802105908060649214154243184376085797204466466023280001423,68775896345783451834505593752827860611321963709607 9422297799372332901327266344137416903751109028216023 10797815726288001938017378219193974115977548302408143
10,12922073631706063500484381325004072067481338368255262534586661284594463385940558052563339894359657019517979914691484427187041855553469143294122478617976363,84379574415566576928474666263294035279933752422587 11560001694932621039201029278071282833350924081894283 13247593183243952577770522603337163538949599130346003
