p,q,g
17031643238946544520816832498800708286620163630827749301666692674854891177756947387344457936296561036730703750497333556571415609861252533156910755503291006022169499927757757250307468502389702029077821619462276908987383748570358175481435865858365338743822110025029065897782542822416749618145952125197406623404392910111033377591721933943964935380253316791585964263919972015565729287099831844976200666067899739704668542552164913624868006483826074565548143844494392649926411803658303133613050403167660504062552468636897858090435339896076225116508081419880540204336918336436923155731390217882534539737453168311498899896709,61024512896724153220579884176409256115564861225195130741274374441895955837643,977188470036875809113658212622688194246787344783958286898209793392827013940822158640060152071041773907889689707915269096617685076983678531141927727395495101780853234381909861873719791617142193140180200487507373306913049878144462693664601694111888080743371262885509870268446554358582658035315575826887916775410883114383736324744384114195659779107547468085590630196655269775538164991382975631958172831818781851646161192154671359615838488649577768238137694065020144372976841632664898419832096008106358710588885406440472390725154055391919288539119257861099014245402222631093199577256212268801188252352885053583025740337
16841801546497681028795608372438631341866093396922349345691397614579478384275989604839329394238811068484971327203783782105715754842098860615089135352825664201422480421273135903038551118099632737705396310279929873071395189773319453270657929722987973891508048101024003166157730603504230547961941157398617570568059145711222751742216633338841990191697421442204078207908560901295131284108656468391785776650863056871448272199097004958060251085718851774484503963592437228879983558166167998645130225576605764966611355420644666222682733944034048986064296609120606661012567743925857283792751255982484595142501728687169319171741,60344308606001928381433641401683574980257171513991532980047119498590594999830,2923298708510555691449157074795933875226151726576264270503166326819491985926262454501843751515139620312500841866722339398019175607609385466257345096817504524165672805327375890380231855729702492286201545002996276358475618492482891947314580973918364536688398225011376631114842363090104685899248047415956941393831643674044472028171338661642783118226690702630880030021547397862360807270934637098798890310082811361111551948688494561144998051209610368753892896509248830943013143715543758486744902664634488208224897337046357363395756919362422857656632117561700949652190672852384826108053576630906450785710692377214361355231
26056630610503738170489817082401779792850519860408611849602758799764574568358048488501305573615744659071282807170297374091278464179348159358090935131753430966144965607091260873546299948263348019526804034554340392909074349104605414656892814803750105243197301951110044405051964326668957834645601808456346094026883046915816019979014365281388952349260318059006342285373799340674985058459244469614567077236567513553890992606627697924032771161645045528474957958771796498488408017559589213408236251225969138752487744161799663037831970334209049481723478474646574692861630970878001390725476908901255497418853340132273246329323,93361114275795181193086230797669712081709027755477266607743725531213097169427,6885375350347430095349873663804016919375875976863984243026579566369384092916664138557247620876842281052545687182926789616114978367755116672508025093993453823116031039913191947707809721036189713487228112104056553120000318114547037640759694369406457458036892154533161595918523464648916252989421883051577470518541908263462338556803405778788357887155151291612973673127896506001557874514145799224605342047327416666901956059233497198084119248128241178513671547491080620984933971834128932301507030463168863458715442549212257606341666193276445521379629153921847772102052070594218750295297778233337680152224520886581131213961
21138435521685290208266940206273027310679459439552037580316185148042923343963466364900941884166122612593249776777286023244500456613991618859263468895665490482830541739440110538234555552502124120315524365042631844365664075390427590519663487595611307717968302005568646017156326466966508630608804290808080150867011000957483680942908740531695523814356851292572237692009222101924607355444826540983319340238734273258344736984357121196870366354380305539129909621387040813335637259896846189671235067811920160031862533118555023456540275747574088045744544442636179849528948170110798800158962200544062039166482157261074113801417,75739182239320074123851905173320482060907077082816640169559669552203775905782,1438697351756447644448541163172653930836503003260999228056246206809716267393001866106119598983622995001892611042491424051456107875734925226242358703975015389626773490447500207847726335665424775139856524395770280475422467825657714880104651669191287070098402077500030861801103982933261872589058182392166927878744347640171688993378508890515546133158782991635447174602979413242915656723707564874303309746407298039504245450476932184234766318919985697525404022515026041437293005513944718484645430572527868415780721096327162120110945646633994879282436226171944685326566846146074178165976337399593552600312837432288696363133
28812415012669358968459420711133541027356506920218795331948741083005829377846733271607042001741348319672956707363045916907595529831182004354245198915624894490169004855711444097610807638652924081924535172121815710750142926502242522599533724925045190806777903331481140502096970769235287900298628574537358132220577317398683388220830044402524604320668009236214672939165732078447553815913810794425793999429497740357429247710157408428238779919824753133979374353414738509827797056111627932831838235516056767010251671882114309363012325594536596025986229212602276279394871862892550679948520333414072453476385767246606253962251,103235111660028142821834767769022448518383064926141670844830743379041529103295,4120408234818988633796364678337198565580684146918497123985270124457467879932308042015335779313029141401141423221794240062840227430984108600779896242912589571494926978904717554575619609905483502021444169719934145724007355227415348803037898511210252696190175751732484317999656097579875832466551923179403178341657293511574393300022581138646140430224156872549425435650273408877142327671877257049465134253023685230444936480270342542025974965994891783372173823826138753961569130707423549947377102819008527864770834133196383655994567804048331386097075099541730347281643174026721158438945659526982466142854243863251945190328
27581249173447471839654059051702154938783484775777919350447352622113040096552761980605818429251380756137259806985097481402519545375904690584610700870325407663894234632326166496005099089343695600936741741958685069453403083122337026188521580796128983334499100165502531319388751014588430785069955698364493376208972873161878826757130126018350328003749837491291235892774051200954846620129604145210862786976673265720332774206398881174700789324295237867099691345275894569661000321788722837210216315128868294236383588765610750647082297253508449148201423662865172421432544587818748762912450658456539390332057837234402783329457,98823834686952622347143294827359741182528535205470272565927010501131028839336,12729732084762137443414179307722389629858944165309693417126232105495891984887019082763088318735599480337210626234233655908395265271568670163412507095934261305409432899812714704361939294825530921162017409797644528107885185719680668451173292989430081231696185276666618552849356689566055125722051396095782119512585244015284313748858707690010012109456553588523652813249572090355064140269090006720740750246598752475396357459061563767301219052538121797515843710289521090960643861993899034527550692047554807140052467073904307666522590343495915894973029095591182275177847771779010649048164249758346030764683658256069729924893
29758201323062046297944704941915092617237044907938144870490450371504129518633511495786480877817171203565204794467022041805926699363456559533100239272408317899924673430293337672681211906552681966134652463391046760661435712592864741379269245027373964334046654396092596597665082053843068038733189632777432606342122598612352780650424739278459757245854446322445997986771984248518966131721172193930935582773686414658893225750030110661194513464495443892382815786549056459339287520167665677061512293739444761765269325208976293453761719011050271275767445865124497662505075104431475835249374513082604644159291712172016117345691,106623871516394979719203184413463781980775097994658043473212154703048525198835,9038615689240343324532533108823105871157017850585788665547300395509900692078914967278411061410686249063809927894066414390381583214485844870071753596466805790826263707140794444594310624704188822995859219011430073298085323289542524153657544598965167372676135229593430864394699785745588963881543075157581295117214260255900197309283871535502655987081544471470959222743310250170322773220502535936027332192006218375100261158691784333649535508372319510228666236625309490390912110734682713637053820008545049874426111001233996270909258702550331108631109228333163682922199293947347089580860167549921177329268426767938164606188
16757959053111794420956305197622004656022173663985848643519466636438879524203572692096204500514534878783248987335307644002174278193527635423027843063348470591617251066922393308154788492482100932798135427750087437583383858507813088041929314341319261425377511633179326340361390375506292468672301780666552247322004494222821599540057550669435589613831671034698343062820685454264443923859763499302266438238752664527413456193361887561364435213920991688850125597130735053175087261730230712485327408732928975615176642309407799127495923194774764251916849625335158987525111091244477054856264635169536005061663088900265926738501,60043900286784632845482657336379834127130699957111893852913106712136411308350,15538356674816027211152885328162636506878791490696513024930186408182969318198728801813458337572485838329107902851561162997180385993563766228440864977178003754669657670918505490804192693191848834652507695714520059860712550305983106088505812726508477016775012174415796959130621036279660673240465165236078360698443781587718325568557187596634504259471270550193942886230980088660710916736959469358544825737481590936423113100270910767313376351241667034895949202506163614980397035647528880532899695151410528214040807301066003407003788653834645388026269657918782433009823185087640476673359293088094686644299868844912498902692
27691176163514023640032070733609689952961603099452172456778883718276644868633945916212092347595088667491054563990067305001197537442309079897993991245900655054350940814237312324942316509063398217028025915515869336307713847895040735959799077211933252728719097861742910918235398920580596848182350635512550513079872805991238274533264499684860665288053276543459966621899427892062230926653706187615447024374466746044607914542692046836160715659392888646261304770402256537718911154872350097081755763989129954922630376703695063588442941106031017762390912847960608305969917219720914794741559668800530275073566918161473172971281,99217703964796260526422796690429696484453159218455462429806327452370537414210,19275840778420553208930777119394050095509634783494945918600953327391290055569756155415074483199380251927590921015180628586681348337978922750519418261847276326693340582811305650361811675157876654623603697710902755546515032559258366041974140993309346095187927377850923973836427141108703852542129941580044941165290006557865194780515308546402265559588516879191755962895502723446458570429272539748833268296229443233116202662196419196205596711760841645482209381573437864873985783194302770620366920054320496425692885299106422144530939452706775785030021050707735163238714647599977064291210776253136427718179410717391861025307
29616781211748762511216915631966852134856858664081287492233069819370434681701550324116567777327373993622720639656307754168103330321913742055316211424265688148020124775056189166089644352899144641892584059955614266260456422363521080787937431525734258789369839872982943719046136803875477489419918605712104557226056129936515901089030536718518632787070038535061608441569666098323631381913525369094070483392227488361860073740148132268027404929339345525171091034659619880707040002000957624193519502536672251078356343366888840529103272637905403340342990442955447164272531482825051814256662251301579126335142333043007929700791,106117162135179251086882725224811626902750749111808089107273441894457106270795,2199526131748962915050454739698136380393762488289549126529428758329351846469720091913665649751461162869454874049447436748818598065596333397099253630636101387615439167131107546572487312845138658464179504412624362458130610910187517711050713059170966351075192357459608344580346379111909183941688967828797330134182523835916821207212711220997242420735067489773329311599572929789719333195469940984061469418059384002461267501385732721048967245224634187332213167130739476667217858035691592073724557607586634795635052442882908965846324444368017845262576945506607779864163426135856245788621407066419005002401884323634075062537
