0,1075912933417922261467854333488595511706618774593,10704104560600799 4723927308403057 21277646006294351
1,1043882827480800159867396473651152256456931666037,10453641553959763 8783550586734017 11368784698943447
2,1064563613455356840600838327100278840728943225477,8289143436959851 9190748048261953 13973689939078159
3,785755536898841226953233314320178889152880800251,9244587775331273 7432209202658173 11436206111753119
4,1141830799676930809513794626657798644617742382729,10620712335074713 8068133221301173 13325240213132621
5,1334879958262443299290956665280458421403111568687,9088805254159639 5668561745759161 25909708870275953
6,942335808573513581481855415349531385844327183163,7151144153586857 6882266200946183 19146909962969573
7,743805678356237681967542455939280030927070496517,7662644100466517 8650395701276453 11221343595665117
8,859691290531453094597375233406647287334063054829,10326612217267699 8831224676986787 9426787652331733
9,1370799805879219788998122916735190364421583109477,7736666581500853 7419369843564199 23881034323111591
10,909953660697359442342884013906976643505224340079,8434929501717839 7219790867975957 14942153774658973
11,1098849878935577297073717006192516001292956739293,9314441182521487 8176070093788283 14429023941060233
12,1448763959484911859810551474353226571157961779373,7023896573847719 7168024230980489 28775313300671603
13,873887873891250189991631742801524602725222260771,6003448377386939 10583397178495649 13754025896340761
14,1392183307523846911791734517962181854133461995147,8018038558965641 12635071482849757 13742020069452431
15,992584683228314492675873859566876822761481222399,11309066980704839 5606042310948991 15656130104642551
16,989275788510771622171766948530958537725185155411,7018788642580063 7322337670537943 19248879912465979
17,1122548079000904413620146292280122944430896662617,8151519906856331 7954176115788043 17312953195076449
18,1110426164991875351358025942136364397432531080619,8145738644089051 9221464282097159 14782889358088391
19,852879959493503880918477085153627617609552905249,8312110693818667 9181127438517653 11175850302843799
20,888458046569443585957818994260994014480728303117,6645965802124267 6500644347267289 20564701807738559
21,782501032951293568349986053302395415475076844989,7948771140223429 11452352341835693 8595877653451037
22,1365383579464724885300260562545948143440160145817,8139017746449277 12574137613574567 13341494180905963
23,1121585243737536264305644262536617166934520197549,8609278581619253 11638922243896319 11193161214632807
24,880022892493634062746451006246545531783479326439,10376857324525711 7005432532009663 12105790936876823
25,976387228631903120826128746282133305382302783553,8890867484123893 9450399811501709 11620579082188369
26,1395980437674165782296550806177256572283823331133,7353959868329413 11154320445469571 17018252381777971
27,1001210290665963699824254278841487478384005150837,9349230629282003 7716212231889349 13878587481894571
28,1215218336195338056228022979716354862099987325773,8215980561177769 6904427914263907 21422354959456631
29,1183593501681756971280796697722877847001106852131,7930142752845793 10845542061500023 13761643523103829
30,754756013019331774238366327027165838066933484841,5748842845993427 11077012996511201 11852323037085683
31,851981533010621618520657076260561197514694340381,7574098105067063 11241856924086071 10006016197715597
32,897353589904046791418280516639463753257844817563,6737845301913367 11673672441569863 11408671256193403
33,960248992967253722782137994315888827292277812957,6779011034035109 10228063245974459 13849181748519547
34,849367076875320513594331312802596015517811644483,6550981024291549 11578182230750659 11198212402196213
35,1236734636519560345942489638318088333304233290409,7584779468540201 7353558785864873 22173589206628633
36,1000730907803331123138166799824841321777699594633,8666945822544089 11586575415792203 9965432199578099
37,1265744030349420277386717463731167573125070865427,7842102886145533 10828443358054213 14905526562904963
38,1407431411074120371691254428564677414416837094247,9089190852654391 5809513424611591 26653991632749287
39,1162607075186095034269206212006092300412019766649,9081291544050049 5713478611849097 22407052783675633
40,927306124022277251957692598074687368243150747379,6309512203653851 10885494114025627 13501412180824427
41,735530732551205498030353862184603805822787473099,10619745981290099 6485929854641557 10678603154174693
42,1294628687721849734077639362140424211702193720753,9384830474896831 7994228288585251 17256084079490213
43,1180051483187056208511974705637633168460719531181,9678348121426813 8086860368425637 15077167907902301
44,846813850168983193546797704314361789421453817423,6173707222844393 7035854890209863 19495081213494097
45,853402551011096059430550782080612386355043748787,9999705321150161 5432052657266831 15710961464607757
46,1267332487884442737535792266588292918770626622017,8779433075740559 9459075389215057 15260733512581759
47,1182485813399308843592515586242140862866150049451,10289469254172769 4562600989826861 25187813846354839
48,789303472174517415873739223271717830694288903977,8425387528298717 11471881714756933 8166189757439257
49,919875516882701546612896447417740496992501019111,8208401806562449 11726455517894003 9556606240424813
50,1188316231981761528670070154207907949717852162333,5921637723006851 10173068832460211 19725962905071653
