p,g
531940914974766963819545157699118065156391239572219652518894604064506003577733559837954436144571951678314440807646150193342613890560123269410575212016122953312329590946031292542148811398787807732277175234162835649328523950639775556921948605501643856873970683763822065041246539810273237844747155814899834435271805280680125550420119740338914655189143839622627714566132325230733827695159504723337003416507758165904630406497210230999892399699711997391612666559206238625795610491816054488884649904803524606450710311589183346606453459398709774066998254600117850202931517901036733382499608733311693452831112831119531745539087361992663590792794098911428307288450621640639825712364001163780533570698280373679879756864008764331699751532882367415636061121894872340920975627869060085816746678669912192064501412419959997443957439194477638442048379462118350346534530951156812900893066020819439742113725505436287010601126820745572827411877431896152608081612105357401216332309959024438021701795691569039142289455393891840405446507103928044357571235352316022668327535224750078208140782283623545172238170031641754423437317793989147972318625845490289329712131746531103348349517003812285975276458763297791131724664340062959709807681952639507643275006699,2
532667789431844830864856628245716054494625927652319393484052892945879610251338994368264093669773718458199444916201673813559079710420788266362867893100858619664958671709445620248145578175187210444353230051070464455566505364443006595269338363645785847940613662841254302441943479864796557390679267622154977115770514003722477064311266010484834420950873162373736992263670977948371009544626600986993209772465046641287949478914052794553561049345608373639993649086389150661358972818158548841132490324584100274043399995657017424493191970900724402239007459493670963394198973717185250819858953793610675144239201655331170262935586584012954559842162193627456687315339154522287264060639983341098597569019672309686240101873502424104678212762878079795389378632583061114632895722669273671116773943708938143938735022075713543655038578654181811645685055565743808250797544240232082043111737276613194318932983146915452385688781122141099392736160219753722633338619123977351889333558000460125932171783181627446056767110871153516392599691819837201255334295663338891604431790325197335467591507966812736532838773051115144889261082152518905850152855084883917877155944933480285236225596597076587374898120562678484723333567645652660176496529079146359769885741843,5
