p,g
109359132969807042333351862828026435038657379928870110138333242523494294913022954513640490136262205039323107887052149870843878807430268690528675480965595784570658303207852620076708627980883197553501015612775263022484360487023116586280960508136347271740252608337824517913533882148183335488138655481357694510163,2
174861660506430320065650190927258325791964669303610882323981715426109932759652096628967713626170828151962593294085195215992077614094987009942857373968869214339228513897918475759889133005637828033676213636494023104906028118521440195846605166617896547806610506689162385096213093469164761122931801883434294028303,2
97967208468144362458881734477015952738982922014239683823126032320483170847680568987851575263952857466296767825041995663227673128959736268032304790435353954598106909059173730974706541955020135435396789299762503874771261766861694023778698544465420454148225547985980381528264986188048665348308689825317362179287,2
143695615810849983930175443343922886801828956628150276010924768210538380661218060473321729644429404363312171987816424250954403275550059004987228332804690633915492948406666476992120640836993450807323199584959421755864515041269594773262563525301231297955400151439646842109505905927322254798392983346845390762223,2
97879152086268014154657160073684923738407077195691642521348062567549895419026027398710924114756733522056469917737935988729306386968116787739234419759172695380819541371516724848747606056938050940420334013400270986197205073812191801002784488815705812346701670959522236961425574113587555510905942645769341051323,2
100055943823894197637116355349394514278192548240697358986027960087324020927449106509850555985111712509468328657357203406038336356088349451515122590393847605956482225787591023705288631249935852290656268271410160685099004294175749202039199470282333151861072709791996501649949617967453559165660676482941524560687,2
126496090190104085803613046961852278164546429361293957439338631271053424352073426020424159050706144208987311997380541834646113097811044485813165818684639561091045277514580636543028238857039473687195848992868964936733399732041014514081075951338218199681932122523036870134139463318355495825839203091658515363847,2
138309847997431192904977930550816417306389059046217943624822636037075947297269809976811276354096713975127850803703257842028003375943493758478723987366706516313593928081556883794944890237713504592655464844696998100659320524553247635074594024645861077264630488924265123114042860798510024364535868043847775767447,2
110197391944448810065283892969795021503722717636492263323649897923337591691774852868694319033415125118949018674069550236102829688972983770952351946270426845427987971303230887585255282698661504006591594633058578528008728623446793886798565945398477086074006197252228537657211716384020918695033871203997132949527,2
162908422923798361985358562622027290440407301046422364413114551809542253227707318180930655956133630845545599635437701128252322487033177178036027425635896815483753080476008721859314266879008060122356360399850167092686846784626383003181834912023436632781173841074693824184451694238182498232240774146940938215623,2
141433218933097582064093540795049848853186591044546383955842275016867688721107775012559010655093461022804305969897126437137535938005552142782635954422730594818406042495393797894927062113795923130953384016656213092753258459186416413592497780635144454846686217020485286172746466898010029151274747001832127076147,2
134749165399060971698473372218213806725131049857465709572682518383827737037980083088772787410076221200182038049788967719015650520111002893121133080823398125805811587525781821236478752355031938440354178169654042745753183049990264403859964964016892601590393881169613932083637093314362000420845162987654111146623,2
161353364155918594234479941630307191600061844142143795127071548380409094517254566496050227432520321341001563872394084982134362713255464731575485737459962999817057202947376579277856174318688543984231349369654305133999666852151578410905629296359084418909102964945080777211410746606605916515979088103555693706507,2
141804298950333339057621580132115588124260439499812514319678818305855785581625372571845492044437533629228880568798931202713795022592530678489157612942600980765408084902163525563354780555376491809423258703747669827442986133936303845370195535869640367065688141157952427536278279213039282969615172540639941514287,2
141226710256419195078439289968036357342379196608466759107757966413768288653949420387727517635145648800967455796265707853421641442838197868296900162968897030871957903904494666447629304320667841436496425866678053855500425696476706548453026825401963164553310475905519154632407231528919223584969543719689060520147,2
95817969899949426256130326563579649624650662852090286406525503171791480360276283486761159323748036196286505636316700172508754013198018879884767156708767791837307782573963314228127300515514264243192311130071401616343146914956449919235493730829450392396878978793617794761343399326760239869750559042392934198543,2
121704498176396529352653728422290857426093087681463202119768592166048844867164992775342423979478584026075582132533372108264298409274153846140826411864481339199598565972082031130512890863725091474389764450185369628448311853994196456170244470831854896683058480748154762416221236677924135489590911622093009141943,2
