p,g
22954721900191810460886621244599167225324573450517199877125847295926449120927582586410757097764988204584755207573686367008211820103890961870254476209599177767353016381582728368049004288853696280834728412510931975901431702068295877696185115045584076781629846528394241204874907692455848742215270014591486740649875478543988481122975772251262035131980347884007372144866946408591770093963136492215414482056037491711586741355128079391759208037037855533359775896705872887462053906919299869027598378482850762683201412834836903436092726635351431480664498772963871879765042896062729598244100313936981415567293697131219456662267,2
17876185046307455373563763927010094442810016656119742530107152637352888852814687609691861589336555650051103560684531118471340643363719817456600588127267363346123245827114266964241249569919230563533454745104363553750367416889438497503786522304271707915487422153136882482546885282007467609842588166215695687986050835417421299373565204494211499664542481257197965121475088377512008961223427635465850661133316707537075786004234331826298473185671964352424965655187590540707003108404950219005729008452943229415989267606425377564879605982369711266734304661809523047788417140664692581973036502896716689253716379876530063739763,5
