id,pp,p1,p2,p3,baseBound,k2,k3
0,178718943041929432163838107652875398680295468032083536733836543483572064141132163170360128561737090363840610466178109714090991633019838762269492227254721323157379776050473239046893568623656215770131261294342436816067431708279769473195095394482624150468415939607023068243725614486181334219287704601790412952803,138191842818984503065328725143277706529951575688098260797232534504420547823413342318677686183842891947,33304234119375265238744222759529927273718329740831680852133040815565352025442615498801322370306136958987,38831907832134645361357371765261035534916392768355611284022342195742173938379149191548429817659852636827,52,241,281
1,177582348508401304534967699646388978251332700532312909106638076179604752853428918382941724972606725300682030154662290988734998469783950428531480881510980115258018098760496789596652081564936492260559340499858219302667719520017588451675789045257180328649854108768959165004762627143760349855058758518664541761743,137898267817428726776251437009395380210578233264871438978242553107222883469875317647656369969688158367,33233482544000323153076596319264286630749354216834016793756455298840714916239951553085185162694846166207,38749413256697472224126653799640101839172483547428874352886157423129630255034964258991439961482372500847,52,241,281
2,102591386662419497920215106724304665869052331484172076997822506197082605562396554705049628997954759082559341331795684299876214152699210515813445277755788147440152321991697008729392281188401047371355793168935837471009436708104078023187947968597126084385951799496994836448822029835794125927472035228566850988643,114849518598452663290367928464582074605349561592725472239912673238702018884637304183190700945978273067,27678733982227091852978670759964279979889244343846838809818954250527186551197590308148958927980763808907,32272714726165198384593387898547562964103226807555857699415461180075267306583082475476586965819894731547,52,241,281
3,111133732079784860030608168465275763850253444556016873209488714387779019445901697071060859413168767701675458587551081064634314750082808728772617639508818242224831897158512831950142175926008857317262536592509319581295235865644293566837953271549523550522752540088872382770633617684268969563463147804405482480447,117952598317855710387220065232734234415958492036544027072336369595176101015712386155999311409760543983,28426576194603226203320035721088950494245996580807110524433065072437440344786685063595834049752291099663,33144680127317454618808838330398319870884336262268871607326519856244484385415180509835806506142712858943,52,241,281
4,145964295614119879546754912048318898207122891928343545747262326667431313290231052727031775498065829885440339431738151534032360033177835244278491781681406847134522926408442561760120875267989678239658535239174919479234324744871715718074019300132966050608111700071228886538586790703148136004070056766388402587003,129173796646398072951903601819059368311794888405214292245175589624850971522980813927476844550013698547,31130884991781935581408768038393307763142568105656644431087317099589084137038376156521919536553301349587,36297836857637858499484912111155682495614363641865216120894340684583122997957608713620993318553849291427,52,241,281
5,146816627999852256258527573091432323361478220132690542672774371692699087294964703098018446817614725536086002534743078051149895442493526768749423715961477321342708482021407632005239865368449789215406142124503442783435660091299727223231094805418820076366863104134997129199958264257771154797315507177128440124467,129424737926623290362548705040980718311724130850478157463665214715255973474278344509238873503257065243,31191361840316212977374237914876353113125515534965235948743316746376689607301081026726568514284952723323,36368351357381144591876186116515581845594480768984362247289925334986928546272214807096123454415235333003,52,241,281
6,113209433431803029823188409967825162725685723930695803021608381601400690894859509792103969417021677430785949471164186832495291516466114084990317932031371759822355997612239110580167384746476687805462097401535791329337112768586827622935082192450651822623327832821027904580494683609817422012402539677493992797547,118682426807469228787743451447796099137164797053164665314992972528378527250078410894671267423626057283,28602464860600084137846171798918859892056716089812684340913306379339225067268897025615775449093879804963,33349761932898853289355909856830703857543307971939270953513025280474366157272033461402626146038922096243,52,241,281
7,92779227947689780176461473212408242253917705282003331320581654483674019087677698775618828585104704826016860401548665784191586157521516973416449354859213462097400294231548088191636680036024658359069396143542724367618006418789940777388903467319365646332824130397634368669961952907108906299479379002112826644143,111064635913223711267944068837084821636680002220566358305443377125041582492189226893270440681642069567,26766577255086914415574520589737442014439880535156492351611853887135021380617603681278176204275738765407,31209162691615862866292283343220834879907080623979146683829588972136684680305172757008993831541421548047,52,241,281
8,93501778820377625903370490228337453934727860405065682279194959079353279134025182615268675120725512459194329847319028340948459410260346004305423182772458419793173343932935204675017740139212834399575952768065817924307630788742115730472988022591981811225637969363535193426956165002730112772395019535139763864367,111352208981073808260102413571665936310320638955728535281795874033257971533048690888947667372057514943,26835882364438787790684681670771490650787273988330577002912805642015171139464734504236387836665861101023,31289970723681740121088778213638128103200099546559718414184640603345490000786682139794294531548161698703,52,241,281
9,146127112680203280240901430918446091610408621779092185204910048500495091231740578937634726910023794035398679179606698427097589214028266774705772336075781897728691656853071351079969756563438701553789332802786444666032003175354157308163698451393805134938568749704452166640271137846612907851340056900209445035267,129221808121499953295764862129511091721155253428517822231372369588298700528665593601702894333385797643,31142455757281488744279331773212173104798416076272795157760741070779986827408408058010397534345977231723,36311328082141486876109926258392616773644626213413508047015635854311934848555031802078513307681409137403,52,241,281
