id,pp,p1,p2,p3,baseBound,k2,k3
0,67319708797792636747862342647039492345188588976358320985714457659083778117383,1419564002654126917421023,330758412618411571759098127,143375964268066818659523223,16,233,101
1,84473722688490132497449658973510870849257787277594405892009219192882725170043,1531139567446708584538363,356755519215083100197438347,154645096312117567038374563,16,233,101
2,79902044552624603382742118451086494153360015024745906056132936115530761103063,1503004217224232157315343,350199982613246092654474687,151803425939647447888849543,16,233,101
3,58441614025055001391189269046368683142699599355037765220307045516046237240963,1354196339767836018707443,315527747165905792358833987,136773830316551437889451643,16,233,101
4,77440669554985880729932403829805090371980335535479449812744308195113246329683,1487409672969404990338723,346566453801871362748922227,150228376969909904024210923,16,233,101
5,59072893144655391797489943136152059997300565846643966281846082899392182403763,1359054841933517052504643,316659778170509473233581587,137264539035285222302968843,16,233,101
6,77961897804179025703813060469342457618204336164147084216822827664254532364163,1490739305975057909824243,347342258292188492989048387,150564669903480848892248443,16,233,101
7,72507320421044991825801181589661535450359363512024995675188377274943346593243,1455129081099984625035163,339045075896296417633192747,146968037191098447128551363,16,233,101
8,60694102390881930278763511455149007688589269421642956721348983669669090541323,1371375541008101974511083,319530501054887760061082107,138508929641818299425619283,16,233,101
9,70242906801321664207634013850903379841353574017319036923994714745725390901543,1439820635232968544956863,335478208009281670974948847,145421884158529823040643063,16,233,101
10,74907885487906817182561186109544683198688849373143950982877739767221808718743,1471013802414237067459663,342746215962517236718101247,148572394043837943813425863,16,233,101
11,58141876767326682877571365197107602293031446044302245580237862208903784978603,1351877221650278903465803,314987392644514984507531867,136539599386678169250046003,16,233,101
12,62413505348052595086406627204633248949648939631927365678105967919287793086263,1384205041318873119572143,322519774627297436860309087,139804709173206185076786343,16,233,101
13,69035494325900767844912420329703233622510541481875671431275926904102057796363,1431523168900904385432043,333544898353910721805665787,144583840058991342928636243,16,233,101
14,63247394595550016051979217151277779033765278105033636191636405771785984455303,1390342446316506141099103,323949789991745930876090767,140424587077967120251009303,16,233,101
15,72152688627622163067450857626918282725936882290468187545859028825677369840763,1452752867536482253467643,338491418136000365057960587,146728039621184707600231843,16,233,101
16,72887656272609959047625945314456124907988141436696913755262428193010859351383,1457668929869854182587023,339636860659676024542776127,147224561916855272441289223,16,233,101
17,66777211813142140972969321932583378625572920074055699841093352845199558323903,1415740520339134714310503,329867541239018388434346967,142989792554252606145360703,16,233,101
18,79920880350393436711069027697219714833220394138661484926993433687691436368703,1503122312071265150505703,350227498712604780067828567,151815353519197780201075903,16,233,101
19,78312822519896497084160395463058030446701782812087128400556191992004382619543,1492972680302010546038863,347862634510368457227054847,150790240710503065149925063,16,233,101
20,84686522566482635533654524367148795186056175558626413481598060825499168922063,1532424200055761155296343,357054838612992349184047687,154774844205631876684930543,16,233,101
21,77843276763975346513249515313602135504748330072921069823150865699304829824543,1489982856079376091833863,347166005466494629397289847,150488268464016985275220063,16,233,101
22,77394707198194065424425691055243642149333751052579676302595072401619171021963,1487115347071595114126443,346497875867681661591460987,150198650054231106526770643,16,233,101
23,78875362758473291881999347566798175886606916029592224925314000108120680450343,1496538951234656271088063,348693575637674911163518447,151150434074700283379894263,16,233,101
24,83551762268543119409782232039467746883990738558457996360239641104597846688763,1525548806739241050219643,355452871970243164701176587,154080429480663346072183843,16,233,101
25,77992533591205301368244201011298945046980687974543549363241612670283273394983,1490934546609040330303423,347387749359906396960697327,150584389207513073360645623,16,233,101
26,58213611826810825443329261039100310242795247369077644372897890093400984674003,1352432972183435947290403,315116882518740575718663667,136595730190527030676330603,16,233,101
27,76446160737412186608970664469403096095895834086789203227732905693824099498023,1481015014735565307464383,345076498433386716639201007,149582516488292096053902583,16,233,101
28,66021068008040178354101144268787976049277894464328966409862791097854039496163,1410376566682008965092243,328617740036908088866492387,142448033234882905474316443,16,233,101
29,63529407588768106577534809057281189250588539516162042925073567605342465806343,1392405842540958431332063,324430561312043314500370447,140632990096636801564538263,16,233,101
30,66963509098650140374511010769978745455412976141212746842664946427978259812163,1417055857895457975976243,330174014889641708402464387,143122641647441255573600443,16,233,101
31,60609721576644079772262983319043419979634226766695694735049154760860039518323,1370739721668407331134083,319382355148738908154241107,138444711888509140444542283,16,233,101
32,67319708797792636747862342647039492345188588976358320985714457659083778117383,1419564002654126917421023,330758412618411571759098127,143375964268066818659523223,16,233,101
33,74409474705587690620110025123688385778867738994707710778199473709701603764043,1467744003085680218344363,341984352718963490874236347,148242144311653702052780563,16,233,101
34,62925444265631347869947313597103593211590551143599696099810876578829771805363,1387979329853534060223043,323399183855873436031968787,140185912315206940082527243,16,233,101
35,77961897804179025703813060469342457618204336164147084216822827664254532364163,1490739305975057909824243,347342258292188492989048387,150564669903480848892248443,16,233,101
36,65043827740693859335683749208906687685280321987862040780443028555768504253383,1403383174586951336885023,326988279678759661494210127,141741700633282085025387223,16,233,101
37,62816572916558669899957063236000464130375132891899995630543005945574288049623,1387178390388286295392783,323212564960470706826518207,140105017429216915834670983,16,233,101
38,79741354517434037048265019184134908314032367991532828254978876173387188925023,1501995983173177936637383,349965064079350459236510007,151701594300490971600375583,16,233,101
39,64594215586061250843974403748517430703553113956901328022792874989818153669083,1400142090167204763239323,326233107008958709834762027,141414351106887681087171523,16,233,101
40,71059981947962870192596499204055565865098662681486220024669820527061734173823,1445381858189452145628583,336773972958142349931459607,145983567677134666708486783,16,233,101
41,61913739384491011760885208221527100883062105537503759714904922038815842801103,1380500537221244992393303,321656625172550083227639367,139430554259345744231723503,16,233,101
42,84483504780218629588378283390120289366431588822202421592046862725379716825643,1531198667362103609442763,356769289495370141000163547,154651065403572464553718963,16,233,101
43,67676612008796359801317451582565725192234517184661158737006796660868490661463,1422068243182998294636943,331341900661638602650407487,143628892561482827758331143,16,233,101
44,81580547266559674175228243649690476247299467655678076874015353650563596479023,1513455908525514316283383,352635226686444835694028007,152859046761076945944621583,16,233,101
45,83794188986476578020337995818838132703361535986983872024298032611143633675523,1527022849747239961536883,355796323991106911038093507,154229307824471236115225083,16,233,101
46,80372432587523889242858256858760241395122900694354461852605381576662540767943,1505947873004371581330463,350885854410018578449997647,152100735173441529714376663,16,233,101
47,71711468242012160589376846051935381740072617727938771607659145740360631056003,1449785571335470664508403,337800038121164664830457667,146428342704882537115348603,16,233,101
48,82894943001457154329452787746362601386791367106328743899797408764260621003083,1521540724305193764305323,354518988763110147083140027,153675613154824570194837523,16,233,101
49,70482646699532991687992035046422479102411273608574220342205419279865293228723,1441456817006487204143683,335859438362511518565477907,145587138517655207618511883,16,233,101
50,76321006133200783101486734712090998899439554108143868281808690606455770632063,1480206353708802425586343,344888080414150965161617687,149500841724589044984220543,16,233,101
51,79752303501167528856769273380518229283314912689922520548221845595264955113863,1502064724489242697864543,349981080805993548602438287,151708537173413512484318743,16,233,101
52,59304732653660547818554659390417705787747218012233885011493334779525099296723,1360830452213282032475683,317073495365694713566833907,137443875673541485280043883,16,233,101
53,74328211447659839126908530895208935366959910717850343013375199406133420701643,1467209496307359671166763,341859812639614803381855547,148188159127043326787842963,16,233,101
54,67163258068766772325150790205656025287887992097889258706730578445740766997623,1418463462676607598844783,330501986803649570530834207,143264809730337367483322983,16,233,101
55,66715466826943997143357279703163885333760979574228754296553356673802537448403,1415304034933210918036003,329765840139438143902388467,142945707528254302721636203,16,233,101
56,66821562206758789603618846184732419221864234360947521985060362272824328045883,1416053874512417877342523,329940552761393365420807627,143021441325754205611594723,16,233,101
57,81282386432088917830924395405557613607726980014106023036487008675248578394783,1511609863285544700383623,352205098145531915189383927,152672596191840014738745823,16,233,101
58,80310368242357809246525266609817060405565848085888676297384714230990879441483,1505560137499116872906923,350795512037294231387312827,152061573887410804163599123,16,233,101
59,81054066883064251212917421210488722448923029248499595348602791065415488776823,1510193181862897564425583,351875011374055132511160607,152529511368152654006983783,16,233,101
60,76426961961782464900641520139535834923203380563948902349926609875257949373963,1480891023090907622174443,345047608380181475966644987,149569993332181669839618643,16,233,101
61,60004967475729007540402720862041609304017215270591101192233941422335043895223,1366165466855866110427183,318316553777416803729533407,137982712152442477153145383,16,233,101
62,57928464002500487326229614679109361484380098873711010295617618593589022378203,1350221148680944873346203,314601527642660155489665067,136372336016775432207966403,16,233,101
63,76085867092985368833218197091937479944944855655755183493502292443395264790323,1478684656626403067462083,344533524993951914718665107,149347150319266709813670283,16,233,101
64,74645868404665989056464594083315825697522942160861246082979512201511531434703,1469296666705369228239703,342346123342351030179850567,148398963337242292052209903,16,233,101
65,76446160737412186608970664469403096095895834086789203227732905693824099498023,1481015014735565307464383,345076498433386716639201007,149582516488292096053902583,16,233,101
66,79752303501167528856769273380518229283314912689922520548221845595264955113863,1502064724489242697864543,349981080805993548602438287,151708537173413512484318743,16,233,101
67,72507320421044991825801181589661535450359363512024995675188377274943346593243,1455129081099984625035163,339045075896296417633192747,146968037191098447128551363,16,233,101
68,78268468487938568629892128444329097545829996656330912534268452473865589012963,1492690768769387997335443,347796949123267403379157987,150761767645708187730879643,16,233,101
69,75098492054239118631001910709124074273442046674142767003282360036068970944223,1472260433109501347578183,343036680914513813985716407,148698303744059636105396383,16,233,101
70,80335054100284396350266461820093067126094139750412572430336926229764935382743,1505714381743772923195663,350831450946299091104589247,152077152556121065242761863,16,233,101
71,73464394396721646114799170201107599546381361133553865705513366755134831848743,1461503532321055352329663,340530323030805897092811247,147611856764426590585295863,16,233,101
72,61206150150875060538686603436046386055822982359833727659067887617353440898123,1375221297633480525594283,320426562348600962463467707,138897351060981533085022483,16,233,101
73,63039129371891306060626537633896643446892968783289459994146643180948771277523,1388814697531754607534883,323593824524898823555627507,140270284450707215361023083,16,233,101
74,61185415689242697308195998346873954665691053626265912226218100471399169469063,1375065988111679860149343,320390375230021407414796687,138881664799279665875083543,16,233,101
75,74907885487906817182561186109544683198688849373143950982877739767221808718743,1471013802414237067459663,342746215962517236718101247,148572394043837943813425863,16,233,101
76,76893079871726485789837058155470892023039081683542106985056759591618260713283,1483895509371023002915123,345747653683448359679223427,149873446446473323294427323,16,233,101
77,60778331284845777396513072882779134870546701191464436447710670536252098640783,1372009628168024877737623,319678243363149796512865927,138572972444970512651499823,16,233,101
78,70397768309414723323286363888341604489968684947293477229702303398105727303403,1440877962091064592181003,335724565167218049978173467,145528674171197523810281203,16,233,101
79,62298119412227799159267008684945466349083337923047320579051507674103550725783,1383351506390283376652623,322320900988936026760060927,139718502145418621041914823,16,233,101
80,62298119412227799159267008684945466349083337923047320579051507674103550725783,1383351506390283376652623,322320900988936026760060927,139718502145418621041914823,16,233,101
81,80947415311846586489787420107705302141892958301989761551128072349476487358683,1509530516488756665709723,351720610341880303110365227,152462582165364423236681923,16,233,101
82,64395230970507044158138627688249865163485359660833514153856347852719153091023,1398702883320939001271383,325897771813778787296232007,141268991215414839128409583,16,233,101
83,63116154962575506291622706040303813261148676220392109656391104709223634728003,1389380117419957886436403,323725567358850187539681667,140327391859415746530076603,16,233,101
84,79920880350393436711069027697219714833220394138661484926993433687691436368703,1503122312071265150505703,350227498712604780067828567,151815353519197780201075903,16,233,101
85,83133386616558354945418676909992157461978011233399241872939839384107087943963,1522998209131077757604443,354858582727541117521834987,153822819122238853518048643,16,233,101
86,77709419070484006547396663649875441385198669618189271972171799499699247742383,1489128318145477972796023,346966898127896367661473127,150401960132693275252398223,16,233,101
87,75337599279952963648620368459825037900609341003241260878613534496534351156163,1473821295155768665432243,343400361771294099045712387,148855950810732635208656443,16,233,101
88,67319708797792636747862342647039492345188588976358320985714457659083778117383,1419564002654126917421023,330758412618411571759098127,143375964268066818659523223,16,233,101
89,78875362758473291881999347566798175886606916029592224925314000108120680450343,1496538951234656271088063,348693575637674911163518447,151150434074700283379894263,16,233,101
90,61879828066653751948048797176353084117920532729401059645509453141051462778023,1380248449167572248184383,321597888656044333826961007,139405093365924797066622583,16,233,101
91,66473729541523366211731187047724656213484316435950668585405228256010603874183,1413592558653869577744223,329367066166351611614403727,142772848424040827352166423,16,233,101
92,69150908735193906535889941403810011871824249851446892167281605141586583157103,1432320470909860528837303,333730669721997503219091367,144664367561895913412567503,16,233,101
93,63190672308436601377057950710094887675369158179369871844200196480008119780883,1389926687472868091607523,323852918181178265344552627,140382595434759677252359723,16,233,101
94,63116154962575506291622706040303813261148676220392109656391104709223634728003,1389380117419957886436403,323725567358850187539681667,140327391859415746530076603,16,233,101
95,62825051519150817978516461928322175667767192172925300947258271965047459168683,1387240798574704439899723,323227106067906134496635227,140111320656045148429871923,16,233,101
96,72243305121894033766676633151405869609368138430376329375071798215976285849543,1453360783437050350808863,338633062540832731738464847,146789439127142085431695063,16,233,101
97,59618552493337950509869254185500364604747717451110072482241919791446770863943,1363226576467571376834463,317631792316944130802429647,137685884223224709060280663,16,233,101
98,69144301310612483600638745296398583012577834913769409562833669206609164459223,1432274849668306441063183,333720039972715400767721407,144659759816498950547381383,16,233,101
99,72887656272609959047625945314456124907988141436696913755262428193010859351383,1457668929869854182587023,339636860659676024542776127,147224561916855272441289223,16,233,101
100,77369350631563098180275553210222222765069641953936311223650091954516168856203,1486952923138639939268203,346460031091303105849491067,150182245237002633866088403,16,233,101
101,66063845791209225090964605138682692672984031372637978451134044755618620847223,1410681114703633855075183,328688699725946688232517407,142478792585067019362593383,16,233,101
102,67945550366714130856202755995443527399120273857774427022031035199538797301363,1423949460348330261927043,331780224261160951029000787,143818895495181356454631243,16,233,101
103,67544558854317075698729824596827171241758516128205163210557703499601376505963,1421142709903204477442443,331126251407446643244088987,143535413700223652221686643,16,233,101
104,66262500831062382249160600137061374673616843154471013870230483984289004012263,1412093679996725891846143,329017827439237132800151087,142621461679669315076460343,16,233,101
105,80717419106099979143666136548496741159421923633324678924248188185214067284543,1508099481989269870373863,351387179303499879797109847,152318047680916256907760063,16,233,101
106,69144301310612483600638745296398583012577834913769409562833669206609164459223,1432274849668306441063183,333720039972715400767721407,144659759816498950547381383,16,233,101
107,71601097577535611971621707695346714352673037334465643942988019396523601509263,1449041404174490649749143,337626647172656321391550087,146353181821623555624663343,16,233,101
108,70512528276508159127109718195703021787639433741005781044025065449992530660343,1441660493226838616878063,335906894921853397732588447,145607709815910700304684263,16,233,101
109,66473729541523366211731187047724656213484316435950668585405228256010603874183,1413592558653869577744223,329367066166351611614403727,142772848424040827352166423,16,233,101
110,81282386432088917830924395405557613607726980014106023036487008675248578394783,1511609863285544700383623,352205098145531915189383927,152672596191840014738745823,16,233,101
111,78338445379075119995754503930033178229212824161307035099129076542859350306843,1493135489133691911881563,347900568968150215468403947,150806684402502883100037763,16,233,101
112,71676728955201193926932915460309642434295636289112482576084435296259895908543,1449551426305305072149863,337745482329136081810917847,146404694056835812287136063,16,233,101
113,77394707198194065424425691055243642149333751052579676302595072401619171021963,1487115347071595114126443,346497875867681661591460987,150198650054231106526770643,16,233,101
114,57936308537068863153695156921258707791620872525434150064985173568023070947963,1350282093840267007400443,314615727864782212724302987,136378491477866967747444643,16,233,101
115,65364568189160652619945700895518449514933900267278456022547598199761771205383,1405686154557066409133023,327524874011796473327994127,141974301610263707322435223,16,233,101
116,59604329115864862459523669228181400183418063018669087033105717538419652116443,1363118158156358935831963,317606530850431632048847147,137674933973792252519028163,16,233,101
117,77863747128718617909740345080058307844475352527454086306081324896006489260343,1490113451041556018278063,347196434092682552258788447,150501458555197157846084263,16,233,101
118,79920880350393436711069027697219714833220394138661484926993433687691436368703,1503122312071265150505703,350227498712604780067828567,151815353519197780201075903,16,233,101
119,65407037129714047229531003067297435744164058403900125013294215228670614522163,1405990524743007143266243,327595792265120664381034387,142005042999043721469890443,16,233,101
120,68594705492284409884490782110362181465047548676721206948712854910024551216623,1428469922225252866825783,332833491878483917970407207,144275462144750539549403983,16,233,101
121,62938447414923267619005774786311365390016087897794022426417792084352740006263,1388074929016520716652143,323421458460849326979949087,140195567830668592381866343,16,233,101
122,76925211539121480569469712877389332825060231440073560357128959564331608229243,1484102174683215840999163,345795806701189290952804747,149894319643004799940915363,16,233,101
123,65070693061849447474948732365151690783268843678543803321607030485293861167803,1403576363043644740636603,327033292589169224568328267,141761212667408118804296803,16,233,101
124,79666167705698179259654920495681670139457998378288794952701702946312220331803,1501523765623186564672603,349855037390202469568716267,151653900327941843031932803,16,233,101
125,63483450853228810937165763940951126206679036838828714948907920763891593271763,1392070009285251079236643,324352312163463501462137587,140599070937810359002900843,16,233,101
126,82749068238283468536576915588171300807089404482173993936659626150360262695643,1520647687459186285572763,354310911177990404538453547,153585416433377814842848963,16,233,101
127,61879828066653751948048797176353084117920532729401059645509453141051462778023,1380248449167572248184383,321597888656044333826961007,139405093365924797066622583,16,233,101
128,80378502431202357788041066753093281290025394330003989294526799138287428509863,1505985782512154531668543,350894687325332005878770287,152104564033727607698522743,16,233,101
129,81356071327909560155683142791406958912227733389513119738655995428001890288703,1512066498397815432585703,352311494126690995792468567,152718716338179358691155903,16,233,101
130,67350672019842074017137558307049713046233175420352577490375095263774759032083,1419781608756484516676323,330809114840260892385583027,143397942484404936184308523,16,233,101
131,63523280453535937514008619584022413055829729308229527827724607997359205910383,1392361077271309467428023,324420131004215105910729127,140628468804402256210230223,16,233,101
132,77369350631563098180275553210222222765069641953936311223650091954516168856203,1486952923138639939268203,346460031091303105849491067,150182245237002633866088403,16,233,101
133,71711468242012160589376846051935381740072617727938771607659145740360631056003,1449785571335470664508403,337800038121164664830457667,146428342704882537115348603,16,233,101
134,81282386432088917830924395405557613607726980014106023036487008675248578394783,1511609863285544700383623,352205098145531915189383927,152672596191840014738745823,16,233,101
135,65402469205674361699452778619532594599011926497696810561473977734598764381263,1405957793262743317277143,327588165830219192925574087,142001737119537075044991343,16,233,101
136,73049427260487310497909863218105273002742185286206206558006801005204592660443,1458746543986417873687963,339887944748835364569295147,147333400942628205242484163,16,233,101
137,60806330479873265775930919379446689945676666893424463468558852078443698596023,1372220280368451814766383,319727325325849272840567007,138594248317213633291404583,16,233,101
138,72831993611967711485902113352488037783426266531941732159004724934718553987303,1457297772400756813167103,339550380969376337467934767,147187075012476438129877303,16,233,101
139,74833669918361280900923610249556208563146985373510426640359406296085169604923,1470527835769203045127483,342632985734224309514703307,148523311412689507557875683,16,233,101
140,66963509098650140374511010769978745455412976141212746842664946427978259812163,1417055857895457975976243,330174014889641708402464387,143122641647441255573600443,16,233,101
141,74833669918361280900923610249556208563146985373510426640359406296085169604923,1470527835769203045127483,342632985734224309514703307,148523311412689507557875683,16,233,101
142,64496829070705476461624980746555704774882877736453048322113176961604016404563,1399438087281383833063843,326069074336562433103875187,141343246815419767139448043,16,233,101
143,75793596342400860990651558198318607050641081603955954407027424590829053477983,1476788856298505264020423,344091803517551726516758327,149155674486149031666062623,16,233,101
